"url","Uixtilelink","Uixtilelink_link","Categoria"
"https://www.youtube.com/results?search_query=trailer","THE DARK TOWER - Official Trailer (HD)","https://www.youtube.com/watch?v=GjwfqXTebIY","Cine"
"https://www.youtube.com/results?search_query=trailer","JUSTICE LEAGUE - Official Trailer 1","https://www.youtube.com/watch?v=3cxixDgHUYw","Cine"
"https://www.youtube.com/results?search_query=trailer","BAYWATCH Red Band Trailer (Extended) 2017","https://www.youtube.com/watch?v=A1fZjiOwynM","Cine"
"https://www.youtube.com/results?search_query=trailer","Good Time Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=pDSK5KgOQW4","Cine"
"https://www.youtube.com/results?search_query=trailer","47 Meters Down Trailer #2 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=EHhElBtR3WE","Cine"
"https://www.youtube.com/results?search_query=trailer","Blade Runner 2049 Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=qJA48WZ9bis","Cine"
"https://www.youtube.com/results?search_query=trailer","X-MEN: GIFTED Trailer (2017)","https://www.youtube.com/watch?v=hxZj7p0ze6o","Cine"
"https://www.youtube.com/results?search_query=trailer","Baby Driver Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=D9YZw_X5UzQ","Cine"
"https://www.youtube.com/results?search_query=trailer","Kill Switch Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=SernjeZIsM8","Cine"
"https://www.youtube.com/results?search_query=trailer","GLOW | Official Trailer [HD] | Netflix","https://www.youtube.com/watch?v=AZqDO6cTYVY","Cine"
"https://www.youtube.com/results?search_query=trailer","Thor: Ragnarok Teaser Trailer [HD]","https://www.youtube.com/watch?v=v7MGUNV8MxU","Cine"
"https://www.youtube.com/results?search_query=trailer","War Machine Trailer #2 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=_2IOo3X65mE","Cine"
"https://www.youtube.com/results?search_query=trailer","Home Again Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=x3xfcGCwdeI","Cine"
"https://www.youtube.com/results?search_query=trailer","Alien: Covenant | Official Trailer [HD] | 20th Century FOX","https://www.youtube.com/watch?v=svnAD0TApb8","Cine"
"https://www.youtube.com/results?search_query=trailer","IT First Look & Trailer (2017)","https://www.youtube.com/watch?v=M_zLest7BVI","Cine"
"https://www.youtube.com/results?search_query=trailer","DEADPOOL 2 Teaser Trailer (2018)","https://www.youtube.com/watch?v=I4tFNfROlqk","Cine"
"https://www.youtube.com/results?search_query=trailer","CAPTAIN UNDERPANTS: The First Epic Movie Trailer (2017)","https://www.youtube.com/watch?v=VDm_2m-Hg6c","Cine"
"https://www.youtube.com/results?search_query=trailer","Colossal Trailer #2 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=fqcZtz8VXXE","Cine"
"https://www.youtube.com/results?search_query=trailer","Honest Trailers - Aliens","https://www.youtube.com/watch?v=16BhJOQiZG0","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Baby Driver Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=D9YZw_X5UzQ","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","CAPTAIN UNDERPANTS: The First Epic Movie Trailer (2017)","https://www.youtube.com/watch?v=VDm_2m-Hg6c","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Marvel's THE DEFENDERS Trailer (2017)","https://www.youtube.com/watch?v=KtsUFqZpCIw","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Colossal Trailer #2 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=fqcZtz8VXXE","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Spider-Man: Homecoming Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=n9DwoQ7HWvI","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Dunkirk - Trailer 1 [HD]","https://www.youtube.com/watch?v=F-eMt3SrfFU","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Gifted Official Trailer 1 (2017) - Chris Evans Movie","https://www.youtube.com/watch?v=tI01wBXGHUs","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","American Assassin Teaser Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=6tlFfArvVDY","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","BAYWATCH Red Band Trailer (Extended) 2017","https://www.youtube.com/watch?v=A1fZjiOwynM","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","War Machine Trailer #2 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=_2IOo3X65mE","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","WAR FOR THE PLANET OF THE APES Trailer 3 (2017)","https://www.youtube.com/watch?v=X6BsPmqpy9U","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Wakefield Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=sheJkkm9oFY","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Cars 3 Trailer #2 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=bg0XgDfNQHM","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","GOOD TIME Trailer (2017)","https://www.youtube.com/watch?v=nrR-SbCRgCU","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Alien: Covenant | Official Trailer [HD] | 20th Century FOX","https://www.youtube.com/watch?v=svnAD0TApb8","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","Despicable Me 3 - In Theaters June 30 - Official Trailer #2 (HD)","https://www.youtube.com/watch?v=euz-KBBfAAo","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","2:22 Trailer #1 (2017) | Movieclips Trailers","https://www.youtube.com/watch?v=Af2N3N5rURI","Cine"
"https://www.youtube.com/results?q=trailer&sp=SBTqAwA%253D","IT Trailer (2017)","https://www.youtube.com/watch?v=7no56Zw1e20","Cine"
