"url","Gallery Text","Gallery Text_link","De","De_link"
"https://es.wikipedia.org/wiki/Videoconsola","Sears Telegames Pong","https://es.wikipedia.org/wiki/Atari_Pong","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Coleco Telstar","https://es.wikipedia.org/wiki/Coleco_Telstar","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Magnavox Odyssey","https://es.wikipedia.org/wiki/Magnavox_Odyssey","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Magnavox Odyssey 200","https://es.wikipedia.org/w/index.php?title=Magnavox_Odyssey_200&action=edit&redlink=1","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Atari 2600","https://es.wikipedia.org/wiki/Atari_2600","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","ColecoVision","https://es.wikipedia.org/wiki/ColecoVision","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Intellivision","https://es.wikipedia.org/wiki/Intellivision","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Atari 5200","https://es.wikipedia.org/wiki/Atari_5200","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","SG-1000","https://es.wikipedia.org/wiki/SG-1000","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","TV-Game 6","https://es.wikipedia.org/wiki/TV-Game_6","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game & Watch","https://es.wikipedia.org/wiki/Game_%26_Watch","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","SG-1000","https://es.wikipedia.org/wiki/SG-1000","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Color TV Racing 112","https://es.wikipedia.org/w/index.php?title=Color_TV_Racing_112&action=edit&redlink=1","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Vectrex","https://es.wikipedia.org/wiki/Vectrex","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Arcadia 2001","https://es.wikipedia.org/wiki/Arcadia_2001","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Video Pinball","https://es.wikipedia.org/wiki/Video_Pinball","Videojuegos",""
