"url","New column","New column (1)"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Voleibol acuático","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Baloncesto acuático","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bodyboard","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Barrenar","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Piragüismo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kayak-polo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bote dragón","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Apnea","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Trampolín","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Carrera de lanchas motoras","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Esquí acuático","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kayak","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kitesurf","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Descenso de ríos","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Remo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Vela","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Buceo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tubeo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Surf","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Surf casting","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Natación","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Nado sincronizado","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hockey acuático","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wakeboard","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Skate acuático","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Waterpolo","Deporte"
