"url","Info","Harecibido"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Pop","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Música Electrónica","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rock N` Roll","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rap","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Reggae","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Heavy Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Reggaeton","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Hard Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Dance","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Música Clásica","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Blues","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rock Alternativo","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Jazz","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Metal Alternativo","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Opera Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Pop Latino","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Baladas","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Punk Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Thrash Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Banda Sonora (películas)","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Techno","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rock Latino","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Grunge","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","House","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Nü Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Indie Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Power Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Metal Industrial","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Salsa","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Flamenco","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Cumbia","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Música Disco","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Música Cinematográfica","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Folk Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","R&B","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Country","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Tango","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rock Psicodélico","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Música Celta","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rock Gótico","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Metal Progresivo","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Funk Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Death Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Samba","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Soul","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Ska","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Comedy Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Metal Sinfónico","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Merengue","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Metal Gótico","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Speed Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Cumbia Villera","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Rock Experimental","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Folclore","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Glam Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Hardcore Punk","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Ranchera","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Garage Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Black Metal","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","J-Rock","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Twist","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Folk Metäl","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Celtic Punk","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","J-Pop","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","New Age","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Metalcore","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Vals","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Horror Punk","Musica"
"http://listas.20minutos.es/lista/100-estilos-musicales-199381/","Emo Hardcore","Musica"
