"Spanish","Pron Uncia Cin 4"
"Cerdo Hormiguero / Oricteropo","Animales"
"Lobo de tierra / Proteles","Animales"
"Gato abisinio","Animales"
"Víbora","Animales"
"Agutí","Animales"
"Akita","Animales"
"Albatros","Animales"
"Caimán","Animales"
"Alpaca","Animales"
"Anchoa","Animales"
"Angelote","Animales"
"Hormiga","Animales"
" Vermilingua","Animales"
"Antílope","Animales"
"Argalí","Animales"
"Avoceta","Animales"
"Ajolote","Animales"
"Babuino","Animales"
"Tejón","Animales"
"Gato balinés","Animales"
"Bandicut","Animales"
"Caballo árabe","Animales"
"Percebe / Lapa / Barnacla","Animales"
"Barracuda","Animales"
"Murciélago","Animales"
"Beagle (raza de perro)","Animales"
"Oso","Animales"
"Castor","Animales"
"Chinche","Animales"
"Abeja","Animales"
"Escarabajo","Animales"
"Pájaro","Animales"
"Ave del paraíso","Animales"
"Bisonte","Animales"
"Mirio","Animales"
"Jabalí","Animales"
"Bonobo","Animales"
"Periquito australiano","Animales"
"Búfalo","Animales"
"Toro","Animales"
"Buldog","Animales"
"Rana mugidora","Animales"
"Mariposa","Animales"
"Gavilán","Animales"
"Ternero","Animales"
"Camello","Animales"
"Canario","Animales"
"Gato","Animales"
"Oruga","Animales"
"Bagre","Animales"
"Ciempiés","Animales"
"Camaleón","Animales"
"Guepardo","Animales"
"Polluelo","Animales"
"Pollo","Animales"
"Chihuahua / Chihuahueño","Animales"
"Chimpancé","Animales"
"Salmón real / Chinuc / Chinook","Animales"
"Tamias / Ardillas rayadas","Animales"
"Cigarra","Animales"
"Almeja","Animales"
"Gallo","Animales"
"Cacatúa","Animales"
"Cucaracha","Animales"
"Bacalao","Animales"
"Cóndor","Animales"
"Puma","Animales"
"Vaca","Animales"
"Cangrejo","Animales"
"Grulla","Animales"
"Grillo","Animales"
"Cocodrilo","Animales"
"Cuervo","Animales"
"Cuco","Animales"
"Cuscús","Animales"
"Sepia / Jibia / Choco","Animales"
"Dálmata","Animales"
"Ciervo","Animales"
"Cuón / Dole / Perro rojo","Animales"
"Dingo","Animales"
"Pez disco","Animales"
"Dodo / Dronte","Animales"
"Perro","Animales"
"Delfín","Animales"
"Burro","Animales"
"Líron","Animales"
"Libélula","Animales"
