"New column","New column (1)"
"Voleibol acuático","Deportes"
"Baloncesto acuático","Deportes"
"Bodyboard","Deportes"
"Barrenar","Deportes"
"Piragüismo","Deportes"
"Kayak-polo","Deportes"
"Bote dragón","Deportes"
"Apnea","Deportes"
"Trampolín","Deportes"
"Carrera de lanchas motoras","Deportes"
"Esquí acuático","Deportes"
"Kayak","Deportes"
"Kitesurf","Deportes"
"Descenso de ríos","Deportes"
"Remo","Deportes"
"Vela","Deportes"
"Buceo","Deportes"
"Tubeo","Deportes"
"Surf","Deportes"
"Surf casting","Deportes"
"Natación","Deportes"
"Nado sincronizado","Deportes"
"Hockey acuático","Deportes"
"Wakeboard","Deportes"
"Skate acuático","Deportes"
"Waterpolo","Deportes"
"Skimboarding","Deportes"
"Vela ligera","Deportes"
"Windsurf","Deportes"
"Acrobacia aérea","Deportes"
"Aerostato","Deportes"
"Aeromodelismo","Deportes"
"Salto BASE","Deportes"
"Ala delta","Deportes"
"Paracaidismo","Deportes"
"Parapente","Deportes"
"Red Bull Air Race World Series","Deportes"
"Wingsuit","Deportes"
"Puenting","Deportes"
"Ski jumping","Deportes"
"Sky surfing","Deportes"
"Agarre","Deportes"
"Escalada","Deportes"
"Halterofilia","Deportes"
"Judo","Deportes"
"Tumbling","Deportes"
"Pesca","Deportes"
"Deportess de perros","Deportes"
"Carreras de camellos","Deportes"
"Pesca deportiva","Deportes"
"Carrera de palomas","Deportes"
"Arrastre de piedra","Deportes"
"Equitación","Deportes"
"Salto","Deportes"
"Adiestramiento","Deportes"
"Concurso completo","Deportes"
"Polo","Deportes"
"Hípica","Deportes"
"Rodeo chileno","Deportes"
"Pato","Deportes"
"Rodeo estadounidense","Deportes"
"Volteo","Deportes"
"Enduro Ecuestre","Deportes"
"Equinoterapia","Deportes"
"Enganches","Deportes"
"Salto alto","Deportes"
"Horseball","Deportes"
"Doma vaquera","Deportes"
"Buzkashi","Deportes"
"Coleo","Deportes"
"Charrería","Deportes"
"TREC","Deportes"
"Polocrosse","Deportes"
"Reining","Deportes"
"Movimiento de la rienda","Deportes"
"Dzhigitovka","Deportes"
"Carreras de carros","Deportes"
"Buzkashi","Deportes"
"Coleo de toros","Deportes"
"Cross-country","Deportes"
"Deportes de lazo","Deportes"
"Salto largo","Deportes"
"Turf (hípica)","Deportes"
"Tent pegging","Deportes"
"Skijöring","Deportes"
"Enganches ecuestres","Deportes"
"Jineteada gaucha","Deportes"
"Carreras de velocidad","Deportes"
"Carreras de medio fondo","Deportes"
"Carreras de larga distancia","Deportes"
"Campo a través","Deportes"
"Carreras de vallas","Deportes"
"Marcha atlética","Deportes"
"Pruebas combinadas","Deportes"
"Automovilismo; Arrancones; Autocross; Automovilismo de velocidad; Autoslalom; Carrera de destrucción; Drifting; Karting; Rally; Rallycross; Rally raid","Deportes"
"Motociclismo; Enduro; Motociclismo estilo libre; Motociclismo de velocidad; Motocross; Speedway; Supermoto; Superquad; Snocross; Trial","Deportes"
"Motonáutica","Deportes"
"Ciclismo artístico","Deportes"
"Polo en bicicleta","Deportes"
"BMX","Deportes"
"Bobrun","Deportes"
"Ciclo-cross","Deportes"
"Ciclismo de montaña","Deportes"
"Uniciclismo de montaña","Deportes"
"Ciclismo","Deportes"
"Ciclismo en pista","Deportes"
"Uniciclismo","Deportes"
"Adithada","Deportes"
"Aikidō","Deportes"
"Akroteri Punching","Deportes"
"Arnis","Deportes"
"Artes marciales de China","Deportes"
"Artes marciales mixtas","Deportes"
"Bafaquan","Deportes"
"Bajiquan","Deportes"
"Bak Mei","Deportes"
"Bando","Deportes"
"Banshay","Deportes"
"Battōjutsu","Deportes"
"Kung fu del tigre negro","Deportes"
"Bōjutsu","Deportes"
"Bokator","Deportes"
"Bokhin Baridaan","Deportes"
"Bothati","Deportes"
"Boxeo","Deportes"
"Bujinkan","Deportes"
"But Marma Atti","Deportes"
"Borneo Silat","Deportes"
"Buno","Deportes"
"Capoeira","Deportes"
"Chaquan","Deportes"
"Chess boxing","Deportes"
"Chow Gar","Deportes"
"Choy Lay Fut","Deportes"
"Cinco Teros","Deportes"
"Dambe (Hausa Boxing)","Deportes"
"Ditangquan","Deportes"
"Do Pi Kung Fu","Deportes"
"Dragon Kung Fu","Deportes"
"Drunken Boxing","Deportes"
"Dumog","Deportes"
"Eagle Claw","Deportes"
"Emeiquan","Deportes"
"Esgrima","Deportes"
"Espada y daga","Deportes"
"Fanziquan","Deportes"
"Fencing","Deportes"
"Full Contact","Deportes"
"Fujian White Crane","Deportes"
"Fu Jow Pai","Deportes"
"Gatka","Deportes"
"Genbukan","Deportes"
"Glima","Deportes"
"Gongfu","Deportes"
"Goshin Jujitsu","Deportes"
"Gouren","Deportes"
"Hakko Ryu","Deportes"
"Hapkido","Deportes"
"Houquan","Deportes"
"Hsing Yi","Deportes"
"Hung Fut","Deportes"
"Hung Gar","Deportes"
"Iaidō","Deportes"
"Inbuan Wrestling","Deportes"
"Pencak silat","Deportes"
"Piguaquan","Deportes"
"Pradal Serey","Deportes"
"Rough and Tumble","Deportes"
"Sambo","Deportes"
"San Soo","Deportes"
"Sarit Sarak","Deportes"
"Savate","Deportes"
"Schwingen","Deportes"
"Shaolin Nam Pai Chuan","Deportes"
"Shaolin Quan","Deportes"
"Shastar Vidiya","Deportes"
"Shidokan","Deportes"
"Shindo Yoshin Ryu","Deportes"
"Shinkendō","Deportes"
"Shintaido","Deportes"
"Shoot Boxing","Deportes"
"Shooto","Deportes"
"Shorinji Kempo","Deportes"
"Shuai Jiao","Deportes"
"She Quan","Deportes"
"Silat","Deportes"
"Sindo","Deportes"
"Sikaran","Deportes"
"Southern Praying Mantis","Deportes"
"Ssirum","Deportes"
"Sumo","Deportes"
"Suntukan","Deportes"
"Taekwondo","Deportes"
"Tae-Kyon","Deportes"
"Tai Chi Chuan","Deportes"
"Taido","Deportes"
"Taijiquan","Deportes"
"Taijutsu","Deportes"
"Tang Soo Do","Deportes"
"Tantui","Deportes"
"Tendo-Ryu","Deportes"
"Thang-Ta","Deportes"
"Tien Shan Pai","Deportes"
"Tongbeiquan","Deportes"
"Vajra Mushti","Deportes"
"Varma Kalai","Deportes"
"Wing Chun","Deportes"
"Wrestling","Deportes"
"Wado Ryu","Deportes"
"Wudangquan","Deportes"
"Wushu","Deportes"
"Xingyiquan","Deportes"
"Yağlı güreş","Deportes"
"Yau Kung Mun","Deportes"
"Yawyan","Deportes"
"Yingzhaoquan","Deportes"
"Yiquan","Deportes"
"Zui Quan","Deportes"
"BT sporten","Deportes"
"Lucha libre profesional","Deportes"
"Winterguard","Deportes"
"Ball Hockey","Deportes"
"Balompié","Deportes"
"Baloncesto","Deportes"
"Balonmano","Deportes"
"Bandy","Deportes"
"Balonmano playa","Deportes"
"Béisbol","Deportes"
"Brilé","Deportes"
"Bossaball","Deportes"
"Box / indoor lacrosse","Deportes"
"Bowling","Deportes"
"Broomball","Deportes"
"Camogie","Deportes"
"Canadian football","Deportes"
"Cheerleading","Deportes"
"Cricket","Deportes"
"Curling","Deportes"
"Dodgeball","Deportes"
"Eton Wall Game","Deportes"
"Field Hockey","Deportes"
"Fistball","Deportes"
"Floorball","Deportes"
