"Info","Harecibido"
"Pop","Musica"
"Música Electrónica","Musica"
"Rock N` Roll","Musica"
"Rap","Musica"
"Reggae","Musica"
"Heavy Metal","Musica"
"Reggaeton","Musica"
"Hard Rock","Musica"
"Dance","Musica"
"Música Clásica","Musica"
"Blues","Musica"
"Rock Alternativo","Musica"
"Jazz","Musica"
"Metal Alternativo","Musica"
"Opera Rock","Musica"
"Pop Latino","Musica"
"Baladas","Musica"
"Punk Rock","Musica"
"Thrash Metal","Musica"
"Banda Sonora (películas)","Musica"
"Techno","Musica"
"Rock Latino","Musica"
"Grunge","Musica"
"House","Musica"
"Nü Metal","Musica"
"Indie Rock","Musica"
"Power Metal","Musica"
"Metal Industrial","Musica"
"Salsa","Musica"
"Flamenco","Musica"
"Cumbia","Musica"
"Música Disco","Musica"
"Música Cinematográfica","Musica"
"Folk Rock","Musica"
"R&B","Musica"
"Country","Musica"
"Tango","Musica"
"Rock Psicodélico","Musica"
"Música Celta","Musica"
"Rock Gótico","Musica"
"Metal Progresivo","Musica"
"Funk Rock","Musica"
"Death Metal","Musica"
"Samba","Musica"
"Soul","Musica"
"Ska","Musica"
"Comedy Rock","Musica"
"Metal Sinfónico","Musica"
"Merengue","Musica"
"Metal Gótico","Musica"
"Speed Metal","Musica"
"Cumbia Villera","Musica"
"Rock Experimental","Musica"
"Folclore","Musica"
"Glam Metal","Musica"
"Hardcore Punk","Musica"
"Ranchera","Musica"
"Garage Rock","Musica"
"Black Metal","Musica"
"J-Rock","Musica"
"Twist","Musica"
"Folk Metäl","Musica"
"Celtic Punk","Musica"
"J-Pop","Musica"
"New Age","Musica"
"Metalcore","Musica"
"Vals","Musica"
"Horror Punk","Musica"
"Emo Hardcore","Musica"
"Neo-classical Metal","Musica"
"Axe","Musica"
"Bolero","Musica"
"Mambo","Musica"
"Glam Rock","Musica"
"Oldies","Musica"
"Soft Rock","Musica"
"Pornogrind","Musica"
"Skater Punk","Musica"
"Rockabilly","Musica"
"Charleston","Musica"
"Viking Metäl","Musica"
"Groove Metal","Musica"
"Pop Gótico","Musica"
"Pasodoble","Musica"
"Trance","Musica"
"Doom Metal","Musica"
"Candombe","Musica"
"Nu Jazz","Musica"
"Murga","Musica"
"Grindcore","Musica"
"Dream Pop","Musica"
"New Romantic","Musica"
"Goregrind","Musica"
"Chamamé","Musica"
"Surf Rock","Musica"
"J-Ska","Musica"
"2 Tone Ska","Musica"
"Malambo","Musica"
"Beat","Musica"
"Glam Punk","Musica"
