"New column","New column (1)"
"Citizen Kane","Cine"
"Vertigo","Cine"
"2001: A Space Odyssey","Cine"
"Rules of the Game, The","Cine"
"Tokyo Story","Cine"
"8 1/2","Cine"
"Godfather, The","Cine"
"Sunrise","Cine"
"Searchers, The","Cine"
"Seven Samurai","Cine"
"Apocalypse Now","Cine"
"Singin' in the Rain","Cine"
"Battleship Potemkin","Cine"
"Bicycle Thieves","Cine"
"Taxi Driver","Cine"
"Passion of Joan of Arc, The","Cine"
"Breathless","Cine"
"Atalante, L'","Cine"
"Persona","Cine"
"Man with a Movie Camera","Cine"
"Rashomon","Cine"
"Godfather Part II, The","Cine"
"Raging Bull","Cine"
"Andrei Rublev","Cine"
"400 Blows, The","Cine"
"Psycho","Cine"
"City Lights","Cine"
"Touch of Evil","Cine"
"Mirror, The","Cine"
"Dolce vita, La","Cine"
"Some Like it Hot","Cine"
"Lawrence of Arabia","Cine"
"Ordet","Cine"
"Au hasard Balthazar","Cine"
"Casablanca","Cine"
"Avventura, L'","Cine"
"General, The","Cine"
"Contempt","Cine"
"Sunset Blvd.","Cine"
"Blade Runner","Cine"
"Rear Window","Cine"
"Grande illusion, La","Cine"
"Night of the Hunter, The","Cine"
"Third Man, The","Cine"
"In the Mood for Love","Cine"
"Fanny and Alexander","Cine"
"Ugetsu monogatari","Cine"
"Modern Times","Cine"
"Chinatown","Cine"
"Playtime","Cine"
"Barry Lyndon","Cine"
"M","Cine"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Cine"
"Metropolis","Cine"
"Wild Strawberries","Cine"
"Apartment, The","Cine"
"Pather Panchali","Cine"
"Enfants du paradis, Les","Cine"
"Stalker","Cine"
"North by Northwest","Cine"
"Shoah","Cine"
"Rio Bravo","Cine"
"Magnificent Ambersons, The","Cine"
"Mulholland Dr.","Cine"
"Wild Bunch, The","Cine"
"Battle of Algiers, The","Cine"
"Pierrot le fou","Cine"
"Once Upon a Time in the West","Cine"
"Gold Rush, The","Cine"
"Seventh Seal, The","Cine"
"Voyage in Italy","Cine"
"Amarcord","Cine"
"Strada, La","Cine"
"Late Spring","Cine"
"Leopard, The","Cine"
"Pickpocket","Cine"
"Blue Velvet","Cine"
"GoodFellas","Cine"
"Conformist, The","Cine"
"Pulp Fiction","Cine"
"Viridiana","Cine"
"Jules et Jim","Cine"
"Gertrud","Cine"
"Nashville","Cine"
"It's a Wonderful Life","Cine"
"Clockwork Orange, A","Cine"
"Man Escaped, A","Cine"
"Greed","Cine"
"Man Who Shot Liberty Valance, The","Cine"
"Close-Up","Cine"
"Annie Hall","Cine"
"Aguirre: The Wrath of God","Cine"
"Sansho the Bailiff","Cine"
"Last Year at Marienbad","Cine"
"Jaws","Cine"
"Shining, The","Cine"
"Sans soleil","Cine"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Cine"
"Intolerance","Cine"
"Blowup","Cine"
"Satantango","Cine"
"Mother and the Whore, The","Cine"
"To Be or Not to Be","Cine"
"Wizard of Oz, The","Cine"
"Jetee, La","Cine"
"Gone with the Wind","Cine"
"Eclisse, L'","Cine"
"Woman Under the Influence, A","Cine"
"Once Upon a Time in America","Cine"
"Manhattan","Cine"
"Sherlock Jr.","Cine"
"Ikiru","Cine"
"Letter from an Unknown Woman","Cine"
"Star Wars","Cine"
"Madame de...","Cine"
"All About Eve","Cine"
"Hiroshima mon amour","Cine"
"Age d'or, L'","Cine"
"One Flew Over the Cuckoo's Nest","Cine"
"My Darling Clementine","Cine"
"Notorious","Cine"
"Bringing Up Baby","Cine"
"Brighter Summer Day, A","Cine"
"Olvidados, Los","Cine"
"Nosferatu","Cine"
"Don't Look Now","Cine"
"Badlands","Cine"
"Vivre sa vie","Cine"
"Spirit of the Beehive, The","Cine"
"Partie de campagne","Cine"
"Yi yi","Cine"
"Rome, Open City","Cine"
"Matter of Life and Death, A","Cine"
"E.T. The Extra-Terrestrial","Cine"
"Chien andalou, Un","Cine"
"Lady Eve, The","Cine"
"Histoire(s) du cinema","Cine"
"Ali: Fear Eats the Soul","Cine"
"Trouble in Paradise","Cine"
"Days of Heaven","Cine"
"Do the Right Thing","Cine"
"Stagecoach","Cine"
"Exterminating Angel, The","Cine"
"Alien","Cine"
"Double Indemnity","Cine"
"His Girl Friday","Cine"
"Come and See","Cine"
"Conversation, The","Cine"
"Brief Encounter","Cine"
"On the Waterfront","Cine"
"Gospel According to St. Matthew, The","Cine"
"Discreet Charm of the Bourgeoisie, The","Cine"
"Chimes at Midnight","Cine"
"Rosemary's Baby","Cine"
"Beau travail","Cine"
"King Kong","Cine"
"Red Shoes, The","Cine"
"River, The","Cine"
"Cries and Whispers","Cine"
"Good, the Bad and the Ugly, The","Cine"
"Duck Soup","Cine"
"Passenger, The","Cine"
"Napoleon","Cine"
"Life and Death of Colonel Blimp, The","Cine"
"Argent, L'","Cine"
"Grapes of Wrath, The","Cine"
"Mouchette","Cine"
"Imitation of Life","Cine"
"Deer Hunter, The","Cine"
"Black Narcissus","Cine"
"Dekalog","Cine"
"Travelling Players, The","Cine"
