"url","Uixtilelink","Uixtilelink_link","Categoria"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de NORCOREA ¡URGENTE! 16/05/2017","https://www.youtube.com/watch?v=87e8L5DiatI","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP DIO INFORMACIÓN SECRETA A RUSIA 16/05/2017","https://www.youtube.com/watch?v=7PkIEY4OLQU","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP DESTITUYE AL DIRECTOR DEL FBI 10/05/2017","https://www.youtube.com/watch?v=VDNCulmBj7Q","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, CONGRESO INVESTIGARÁ NEXO TRUMP-RUSIA 11/05/2017","https://www.youtube.com/watch?v=1Ijqnf8Cj88","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP SE ENCABRONA Y AMENAZA JODER A TODOS 13/05/2017","https://www.youtube.com/watch?v=DtgJMivZlEU","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP VÍNCULOS CON ARABIA SAUDITA 08/05/2017","https://www.youtube.com/watch?v=aTonH6C5eU8","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, SENADO REALIZARÁ PESQUISAS A TRUMP 12/05/2017","https://www.youtube.com/watch?v=ezj7i6cZraY","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias, VIRUS EXTORSIONADOR ¡PARANOIA MUNDIAL! 14/05/2017","https://www.youtube.com/watch?v=d2zkt4cEzZM","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP PRIMERA VICTORIA ¡¡AL FIN UNA!! 05/05/2017","https://www.youtube.com/watch?v=5CpyD0qTBIk","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, URGENTE ALGO GRAVE SE VIENE ... 20/04/2017","https://www.youtube.com/watch?v=MsFQ-bb7QQg","Noticias"
"https://www.youtube.com/results?search_query=noticias","Noticias Telemundo, 15 de mayo de 2017 | Noticiero | Noticias Telemundo","https://www.youtube.com/watch?v=OUfV980Io5o","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, CASA BLANCA DICE QUE MURO SE CONSTRUYE 06/05/2017","https://www.youtube.com/watch?v=-PcJ3IuQMTI","Noticias"
"https://www.youtube.com/results?search_query=noticias","ULTIMAS NOTICIAS DEL MUNDO 18 DE MAYO DEL 2017, ULTIMAS NOTICIAS INTERNACIONALES 18 DE MAYO DEL 2017","https://www.youtube.com/watch?v=X6U8L8j_yRI","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP ADVIERTE GRAN CONFLICTO 29/04/2017","https://www.youtube.com/watch?v=qBWUwQNbvKE","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de COREA DEL NORTE, KIM JONG-UN QUIERE REUNIRSE CON TRUMP 13/05/2017","https://www.youtube.com/watch?v=HRph9EdaPns","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de VENEZUELA, CRISIS SE AGUDIZA 04/05/2017","https://www.youtube.com/watch?v=bKAxXvrPL8U","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, ESTAMOS CERCA DE UNA DEVASTACIÓN MUNDIAL 17/04/2017","https://www.youtube.com/watch?v=u7t7pFVivSs","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP EN ALERTA POR VIRUS EXTORSIONADOR 15/05/2017","https://www.youtube.com/watch?v=saoDfPmrnK8","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, PAPA FRANCISCO SE ENCABRONA CON TRUMP 07/05/2017","https://www.youtube.com/watch?v=WfE12k1Lemw","Noticias"
"https://www.youtube.com/results?search_query=noticias","Ultimas noticias de EEUU, TRUMP RETROCEDE FRENTE A MEXICO Y CANADA 28/04/2017","https://www.youtube.com/watch?v=rgBnw2jSDO0","Noticias"
"https://www.youtube.com/results?sp=SBTqAwA%253D&q=noticias","Ultimas noticias de EEUU, TRUMP EN ALERTA POR VIRUS EXTORSIONADOR 15/05/2017","https://www.youtube.com/watch?v=saoDfPmrnK8","Noticias"
"https://www.youtube.com/results?sp=SBTqAwA%253D&q=noticias","ÚLTIMAS NOTÍCIAS","https://www.youtube.com/watch?v=3bYUxLTV4gk","Noticias"
"https://www.youtube.com/results?sp=SBTqAwA%253D&q=noticias","Ultimas noticias de EEUU, PAPA FRANCISCO SE ENCABRONA CON TRUMP 07/05/2017","https://www.youtube.com/watch?v=WfE12k1Lemw","Noticias"
"https://www.youtube.com/results?sp=SBTqAwA%253D&q=noticias","Ultimas Noticias de EE.UU, ¿Es el Fín de Trump?.","https://www.youtube.com/watch?v=YWJcYePm9L0","Noticias"
"https://www.youtube.com/results?sp=SBTqAwA%253D&q=noticias","Ultimas noticias de EEUU, TRUMP RETROCEDE FRENTE A MEXICO Y CANADA 28/04/2017","https://www.youtube.com/watch?v=rgBnw2jSDO0","Noticias"
"https://www.youtube.com/results?sp=SBTqAwA%253D&q=noticias","Exitosa Noticias 18 de mayo del 2017","https://www.youtube.com/watch?v=ih77JXvPXCU","Noticias"
