"url","Uixtilelink","Uixtilelink_link","Categoria"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Samsung Galaxy S7 edge review","https://www.youtube.com/watch?v=2U_xuUrVD8E","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Xiaomi Mi Pad 3, review en español","https://www.youtube.com/watch?v=ZR4w7iKlSI8","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Huawei P10 Plus, review en español","https://www.youtube.com/watch?v=pmvwk4ivayQ","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Samsung Galaxy S8+, Review en español","https://www.youtube.com/watch?v=Uv-0ttBKb2U","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Samsung Galaxy S8, review en español","https://www.youtube.com/watch?v=XvjuSE9e8GA","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Dell Chromebook 11 3189, análisis review en español","https://www.youtube.com/watch?v=eBW_NOtHtcU","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Huawei P9 Plus, review en español","https://www.youtube.com/watch?v=PSfi5RhZlts","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Samsung Galaxy S7 edge, review en español","https://www.youtube.com/watch?v=7s-krvfk524","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","iPhone 7 Plus, review en español","https://www.youtube.com/watch?v=ndpoOhBTG8E","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Honor 6X, review en español","https://www.youtube.com/watch?v=obUk14WYB_k","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","LG V10, Review en Español","https://www.youtube.com/watch?v=fGhknw6-oLc","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","LG G6 Review Completa en Español","https://www.youtube.com/watch?v=m9KEyN3JEJM","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","[Review] Samsung Galaxy Note 5 (en español)","https://www.youtube.com/watch?v=s7Jy0th0T_I","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","YuXin illusory-kylin 5.6cm 3x3x3 Review En Español -Edurubiks","https://www.youtube.com/watch?v=1tZYm5zQDqs","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Sony Xperia XA Ultra, review en español","https://www.youtube.com/watch?v=uFk1mATbo9c","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","[Review] Motorola Moto G5 Plus (en español) | Excelente por dentro","https://www.youtube.com/watch?v=1DLtqZCLYfg","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Huawei P10, review en español","https://www.youtube.com/watch?v=38YJW43h_oQ","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Samsung Galaxy J5 Metal (2016) - Review en español","https://www.youtube.com/watch?v=jymjhCmVSBo","Review"
"https://www.youtube.com/results?search_query=review+espa%C3%B1ol","Huawei P9 Lite, review en español","https://www.youtube.com/watch?v=Q6ppcGY4alg","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","ASUS Zenfone 3, review in spanish","https://www.youtube.com/watch?v=N29c33S-BVc","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","[Review] iPhone 7 (en español)","https://www.youtube.com/watch?v=hIzgrCOhhRU","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Xiaomi Mi6 Review en Español","https://www.youtube.com/watch?v=Z3h0_kChXdE","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Samsung Galaxy Grand Prime+ Plus (J2 Prime) - Review en español","https://www.youtube.com/watch?v=FCQnHDZ5j5w","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Samsung Galaxy Note 7, Review en español","https://www.youtube.com/watch?v=eqB3LI98PIU","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","SONY XPERIA XZ, Review en español","https://www.youtube.com/watch?v=BXIRTeBmcJA","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Huawei P9 Lite, review en español","https://www.youtube.com/watch?v=Q6ppcGY4alg","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Sony Xperia X review","https://www.youtube.com/watch?v=tuCnDgNS-iQ","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Xiaomi Redmi 4A ◊ Review en Español ◊ Marcos Reviews","https://www.youtube.com/watch?v=lYKimP4ygNM","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Sony Xperia XA Ultra, review en español","https://www.youtube.com/watch?v=uFk1mATbo9c","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Yoga Book, review en español","https://www.youtube.com/watch?v=qnWG0icKqnU","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Lenovo K5, review en español","https://www.youtube.com/watch?v=FMwThabsdRM","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Sony Xperia Z5, review en español","https://www.youtube.com/watch?v=YkrvFEnce54","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","GoPro Hero5 Black, review en español","https://www.youtube.com/watch?v=HdPjEJvzap0","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Huawei P10 Lite - Review en Español","https://www.youtube.com/watch?v=iyPwkPIc_po","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Sony Xperia X Compact, review en español","https://www.youtube.com/watch?v=T-3gCqxzEhs","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","Sony Xperia M5, review en español","https://www.youtube.com/watch?v=IShSJgZamEY","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","OnePlus 3, review en español","https://www.youtube.com/watch?v=oxRan7B19J4","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","SAMSUNG GALAXY J7 PRIME, ANALISIS COMPLETO! (review español)","https://www.youtube.com/watch?v=O6RCocVo93c","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SBTqAwA%253D","HTC 10, review en español","https://www.youtube.com/watch?v=UjHp_9dJ09w","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Sony Xperia X Performance, review en español","https://www.youtube.com/watch?v=_Bdqv7Hk538","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Honor 5X, Review en Español","https://www.youtube.com/watch?v=xjfo49BEAz4","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","[Review] Samsung Galaxy J1 Ace (en español)","https://www.youtube.com/watch?v=r5U_3vDL37k","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","HTC One M9, Review en español","https://www.youtube.com/watch?v=Cn4FmZQdFH0","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Huawei P9 review en español | 4K UHD","https://www.youtube.com/watch?v=Sd8xIut5WZ0","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","BLU LIFE ONE X2, ANALISIS COMPLETO! RECOMENDABLE? (review español)","https://www.youtube.com/watch?v=cuVCxub2T7A","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","[Review] LG G2 Mini (en español)","https://www.youtube.com/watch?v=2rnugLZBJiM","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Samsung Galaxy J5 Metal (2016) - Review en español","https://www.youtube.com/watch?v=jymjhCmVSBo","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","OnePlus 2, Review en español","https://www.youtube.com/watch?v=i1NdtWq55lA","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Microsoft Lumia 640, Review en español","https://www.youtube.com/watch?v=BJFD6cbVH8I","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","iPad Mini 4 en Español - Review","https://www.youtube.com/watch?v=Mttw8LAcVPI","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Samsung Galaxy Alpha, Review en Español","https://www.youtube.com/watch?v=0_wssd7XFZs","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Motorola Moto X Style, review en español","https://www.youtube.com/watch?v=MUuVuCBGyYg","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","BLU VIVO 6, ANÁLISIS COMPLETO! (review español)","https://www.youtube.com/watch?v=ubp7EzCnFyQ","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Vernee Apollo Lite, review en español","https://www.youtube.com/watch?v=Mk4Wo54jVzk","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","LG G6, Review in Spanish","https://www.youtube.com/watch?v=2FgVOfMr7WY","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Sony Xperia C5 Ultra Dual, review en español","https://www.youtube.com/watch?v=QuXrLmXpgKM","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","BLU R1 HD, 2GB DE RAM, ANALISIS COMPLETO!! (review español)","https://www.youtube.com/watch?v=bNYJVdBk1bU","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","HTC One M8, Review en español","https://www.youtube.com/watch?v=zAqcX-4IaF4","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SDzqAwA%253D","Elephone P9000, review en español","https://www.youtube.com/watch?v=XPILpt3cJgc","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Huawei Mate S, review en español","https://www.youtube.com/watch?v=ODK1IKDeN1c","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Huawei G8, review en español","https://www.youtube.com/watch?v=3RsnxmQ-xOE","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Sony Xperia Z2, Review en español","https://www.youtube.com/watch?v=EuWdgPSHIMM","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Samsung Galaxy A5, Review en español","https://www.youtube.com/watch?v=oOWmQMZkpJo","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Apple Watch, Review en Español","https://www.youtube.com/watch?v=69tiaBa7D4k","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Sony Xperia C5 Ultra - Review en español","https://www.youtube.com/watch?v=4S-D53KtzQE","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","LG G Flex 2, Review en español","https://www.youtube.com/watch?v=Q4axk1Xc_Zs","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Análisis Samsung Galaxy S7 Edge, review en español","https://www.youtube.com/watch?v=_gtBh5x3EUc","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","LG K8 review en español","https://www.youtube.com/watch?v=wg9Ur0cv2Lg","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Meizu m3 Note, review en español","https://www.youtube.com/watch?v=zfMr8YOTW5I","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Samsung Galaxy Note Edge, Review en Español","https://www.youtube.com/watch?v=cGQta5pmZCA","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Galaxy Note 5 Review en Español","https://www.youtube.com/watch?v=Z1gc8rVS8CY","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Xiaomi Mi 4i, Review en español","https://www.youtube.com/watch?v=QjEFUKQ7WU8","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","LG V20, Review en Español: ¿el Android para Youtubers? 🎬📹▶️","https://www.youtube.com/watch?v=b_1e9sGn5pw","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Sony Xperia X review en español | 4K UHD","https://www.youtube.com/watch?v=o2pDPK-37LE","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","HTC Desire 626, Review en español","https://www.youtube.com/watch?v=xUrK-1a9V28","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Samsung Galaxy Grand Prime - Review en español","https://www.youtube.com/watch?v=UDa_w8ixivU","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","[Review] Microsoft Lumia 640 (en español)","https://www.youtube.com/watch?v=KyISyb-G2m0","Review"
"https://www.youtube.com/results?sp=SFDqAwA%253D&q=review+espa%C3%B1ol","Alcatel Shine Lite: Review en Español","https://www.youtube.com/watch?v=_xfud16_O9c","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Samsung Galaxy Grand Prime - Review en español","https://www.youtube.com/watch?v=UDa_w8ixivU","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","[Review] Microsoft Lumia 640 (en español)","https://www.youtube.com/watch?v=KyISyb-G2m0","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Alcatel Shine Lite: Review en Español","https://www.youtube.com/watch?v=_xfud16_O9c","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Samsung Galaxy J1 - Review en español","https://www.youtube.com/watch?v=EzMgxMovyMc","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","[Review] Motorola Moto Maxx (en español)","https://www.youtube.com/watch?v=XN3mcqYaIqY","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Microsoft Lumia 950 XL, Review en Español","https://www.youtube.com/watch?v=Td8o1Cuu0AY","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Alcatel Pop 4+, review en español","https://www.youtube.com/watch?v=mIVkRb82X7A","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Nokia Lumia 930, Review en Español","https://www.youtube.com/watch?v=AMpoLVOcn0E","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Beats Solo3 Wireless, ¿son merecidas las críticas? Review español","https://www.youtube.com/watch?v=RYS9N6jkPOk","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Xiaomi Mi5S, Review en español","https://www.youtube.com/watch?v=qlpLlKE6ntQ","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Alcatel Onetouch Idol 3 review en español","https://www.youtube.com/watch?v=jdgJTAw3Q1E","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Sony Xperia XZ, Review en español","https://www.youtube.com/watch?v=Sv8mf-9gNQQ","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Sony Xperia M4 aqua review en español","https://www.youtube.com/watch?v=64LrO-YSJW4","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Nikon D3400, Unboxing y Demostración de Funciones | Fotomecánica | Review En Español","https://www.youtube.com/watch?v=zojdVwiY7rI","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","[Review] Samsung Galaxy S6 Edge (en español)","https://www.youtube.com/watch?v=IBl55hStpRI","Review"
"https://www.youtube.com/results?q=review+espa%C3%B1ol&sp=SGTqAwA%253D","Lenovo K6 Español Review México","https://www.youtube.com/watch?v=0LGWmF2bTPw","Review"
