"url","Uixtilelink","Uixtilelink_link","Categoria"
"https://www.youtube.com/results?search_query=vlog","How To Vlog","https://www.youtube.com/watch?v=dGLEEZZ15N4","Vlog"
"https://www.youtube.com/results?search_query=vlog","Alissa Violet - VLOG Day 1","https://www.youtube.com/watch?v=L6mrnTze_Tw","Vlog"
"https://www.youtube.com/results?search_query=vlog","Week in my life vlog | NYC spa, piercings, and hauls!","https://www.youtube.com/watch?v=PFYHKr0x5_0","Vlog"
"https://www.youtube.com/results?search_query=vlog","EXPLORING CAIRO // EGYPT TRAVEL VLOG","https://www.youtube.com/watch?v=GrxwvFQ1iG8","Vlog"
"https://www.youtube.com/results?search_query=vlog","I'm done vlogging...","https://www.youtube.com/watch?v=1nmI88Cb_14","Vlog"
"https://www.youtube.com/results?search_query=vlog","HAWAII VLOG PART 1 | Best beach in Oahu?","https://www.youtube.com/watch?v=qfkww4AUQmI","Vlog"
"https://www.youtube.com/results?search_query=vlog","Stopping the Vlogs...","https://www.youtube.com/watch?v=WCqOxvee7VM","Vlog"
"https://www.youtube.com/results?search_query=vlog","THE VLOG IS BACK","https://www.youtube.com/watch?v=MpVfH5QDbPo","Vlog"
"https://www.youtube.com/results?search_query=vlog","Shani & Michael Take Bali | VLOG","https://www.youtube.com/watch?v=DWF7DaZX-Ps","Vlog"
"https://www.youtube.com/results?search_query=vlog","ONE LIFE TO LIVE...Mumbai Manori Beach Vlog [ हिंदी ]","https://www.youtube.com/watch?v=4ckDDU1O0U4","Vlog"
"https://www.youtube.com/results?search_query=vlog","MAVERICK VS. KONG! (first meeting)","https://www.youtube.com/watch?v=_KQUBsBgFSU","Vlog"
"https://www.youtube.com/results?search_query=vlog","Our Trip to California ~ Vlog ~ Jacy and Kacy","https://www.youtube.com/watch?v=HjE7uN_78v8","Vlog"
"https://www.youtube.com/results?search_query=vlog","THIS IS MY LAST VLOG","https://www.youtube.com/watch?v=KffMHRB82EI","Vlog"
"https://www.youtube.com/results?search_query=vlog","Vlog","https://www.youtube.com/watch?v=gnHCw87Enq4&list=PLTHOlLMWEwVy52FUngq91krMkQDQBagYw","Vlog"
"https://www.youtube.com/results?search_query=vlog","Vlog #13- L.A & Lip Injections","https://www.youtube.com/watch?v=SRKIjbjFYh4","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","BIRTHDAY IN DISNEYLAND PARIS VLOG","https://www.youtube.com/watch?v=GA76jFRmg_w","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","THIS IS MY LAST VLOG","https://www.youtube.com/watch?v=KffMHRB82EI","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","THE LIFE OF A BILLIONARE | VLOG 218","https://www.youtube.com/watch?v=PNiYeJinQt0","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","Vlog #13- L.A & Lip Injections","https://www.youtube.com/watch?v=SRKIjbjFYh4","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","THE PERFECT COUPLES BUSINESS SEAT! | VLOG S02E17","https://www.youtube.com/watch?v=oj1Yw_YwohE","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","GLENN JULIFER GA BUKA MAILTIME LAGI?! | Vlog #1","https://www.youtube.com/watch?v=5ffVOFySnYA","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","SALSHABILLA #VLOG - KADO UNTUK NABILA - TRIK CARI KADO CEPET!!","https://www.youtube.com/watch?v=7LfsTIhV-94","Vlog"
"https://www.youtube.com/results?q=vlog&sp=SBTqAwA%253D","Duhop ""ANTI-VLOG"" WWE MONDAY NIGHT RAW VLOG","https://www.youtube.com/watch?v=yAhRKgBvJEY","Vlog"
